416,N 40 ST / AURORA AV N
417,23 AV S / S JACKSON ST
418,22XX BLOCK OF NE 88 ST
419,38XX BLOCK OF RAINIER AV S
420,59XX BLOCK OF 34 CT S
421,80XX BLOCK OF FAUNTLEROY WY SW
422,3 AV / PIKE ST
423,120XX BLOCK OF AURORA AV N
424,3XX BLOCK OF FAIRVIEW AV N
425,59XX BLOCK OF 32 AV S
426,80XX BLOCK OF 12 AV NE
427,26XX BLOCK OF NW 87 ST
428,47XX BLOCK OF 50 AV S
429,W MARGINAL S / SR509 NB ON
430,ALASKAN WY / PINE ST
431,26XX BLOCK OF S DEARBORN ST
432,CALIFORNIA AV SW / SW ALASKA ST
433,NICKERSON ST / FLORENTIA ST
434,19XX BLOCK OF 4 AV S
435,NW 45 ST / SHILSHOLE AV NW
436,CALIFORNIA AV SW / SW EDDY ST
437,62XX BLOCK OF DAYTON AV N
438,3XX BLOCK OF NE NORTHGATE WY
439,24XX BLOCK OF LORENTZ PL N
440,14XX BLOCK OF MADISON ST
441,2 AV / YESLER WY
442,57XX BLOCK OF W GREEN LAKE WY N
443,35XX BLOCK OF S EDMUNDS ST
444,12XX BLOCK OF WESTLAKE AV N
445,12XX BLOCK OF VALLEY ST
446,60XX BLOCK OF CALIFORNIA AV SW
447,52XX BLOCK OF FAUNTLEROY WY SW
448,17XX BLOCK OF E MADISON ST
449,129XX BLOCK OF 1 AV SW
450,5XX BLOCK OF BROADWAY E
451,17XX BLOCK OF NW 59 ST
452,89XX BLOCK OF LAKE CITY WY NE
453,28 AV SW / SW HOLDEN ST
454,YALE AV / STEWART ST
455,S JACKSON ST / 5 AV S
456,45 AV NE / NE 93 ST
457,4 AV NE / WOODLAWN AV NE
458,105XX BLOCK OF MIDVALE AV N
459,51XX BLOCK OF S FRONTENAC ST
460,62XX BLOCK OF 24 AV NE
461,42XX BLOCK OF 11 AV NE
462,15XX BLOCK OF 4 AV
463,1XX BLOCK OF EASTLAKE AV E
464,7XX BLOCK OF E THOMAS ST
465,RAINIER AV S / S MORGAN ST
466,6 AV / PINE ST
467,5XX BLOCK OF ELLIOTT AV W
468,19XX BLOCK OF 14 AV E
469,82XX BLOCK OF AURORA AV N
470,2XX BLOCK OF BOYLSTON AV E
471,10XX BLOCK OF 4 AV
472,NW 84 ST / 8 AV NW
473,125XX BLOCK OF 28 AV NE
474,N 45 ST / STONE WY N
475,8XX BLOCK OF ALASKAN WY
476,NE 53 ST / 5 AV NE
477,DEXTER AV N / 6 AV N
478,26XX BLOCK OF NW MARKET ST
479,45XX BLOCK OF 18 AV NE
480,16XX BLOCK OF BELLEVUE AV
481,48XX BLOCK OF MERIDIAN AV N
482,4XX BLOCK OF TERRY AV N
483,4XX BLOCK OF 23 AV
484,39XX BLOCK OF PASADENA PL NE
485,85XX BLOCK OF NESBIT AV N
486,77XX BLOCK OF DETROIT AV SW
487,23XX BLOCK OF 32 AV S
488,11XX BLOCK OF UNIVERSITY ST
489,28 AV SW / SW DAKOTA ST
490,7 AV S / S LUCILE ST
491,24XX BLOCK OF N 65 ST
492,32XX BLOCK OF 37 AV S
493,65XX BLOCK OF LATONA AV NE
494,24XX BLOCK OF 8 AV S
495,32XX BLOCK OF NE 145 ST
496,57XX BLOCK OF 24 AV NE
497,93XX BLOCK OF 39 AV S
498,64XX BLOCK OF CALIFORNIA AV SW
499,10XX BLOCK OF S JACKSON ST
500,1XX BLOCK OF 25 AV
501,84XX BLOCK OF 26 AV SW
502,NW 74 ST / 32 AV NW
503,14 AV S / BOREN AV S
504,4XX BLOCK OF S WASHINGTON ST
505,WHITMAN AV N / N 40 ST
506,35XX BLOCK OF S FERDINAND ST
507,16 AV NW / NW 80 ST
508,32XX BLOCK OF SW AVALON WY
509,16XX BLOCK OF N 46 ST
510,42XX BLOCK OF NE 89 ST
511,5XX BLOCK OF WARREN AV N
512,6XX BLOCK OF 4 AV
513,57XX BLOCK OF 15 AV NW
514,12XX BLOCK OF THOMAS ST
515,10XX BLOCK OF E PINE ST
516,NW MARKET ST / 28 AV NW
517,BOREN AV / E YESLER WY
518,78XX BLOCK OF STONE AV N
519,19 AV S / S MAIN ST
520,5XX BLOCK OF E HOWELL ST
521,JOHN ST / FAIRVIEW AV N
522,60XX BLOCK OF 49 AV SW
523,43XX BLOCK OF UNIVERSITY WY NE
524,N 52 ST / PHINNEY AV N
525,29XX BLOCK OF SW AVALON WY
526,26XX BLOCK OF SW BARTON ST
527,21XX BLOCK OF NE 85 ST
528,44XX BLOCK OF 26 AV SW
529,86XX BLOCK OF WABASH AV S
530,85XX BLOCK OF 14 AV NW
531,11XX BLOCK OF E PIKE ST
532,16XX BLOCK OF NE 47 ST
533,11XX BLOCK OF S ALBRO PL
534,BATTERY ST TUNNEL / NB
535,FAIRVIEW AV N / ALOHA ST
536,3XX BLOCK OF MINOR AV N
537,59XX BLOCK OF E MARGINAL WY S
538,23 AV / E CHERRY ST
539,W MARGINAL WY S / S HOLDEN ST
540,86XX BLOCK OF 8 AV S
541,3XX BLOCK OF 6 AV S
542,65XX BLOCK OF 17 AV NE
543,8 AV / OLIVE WY
544,S CLOVERDALE ST / 8 AV S
545,DENNY WY / YALE AV
546,132XX BLOCK OF AURORA AV N
547,12 AV E / E MERCER ST
548,6XX BLOCK OF MALDEN AV E
549,27XX BLOCK OF E MADISON ST
550,7XX BLOCK OF WESTLAKE AV N
551,63XX BLOCK OF W MARGINAL WY SW
552,86XX BLOCK OF 16 AV S
553,107XX BLOCK OF WHITMAN AV N
554,16XX BLOCK OF NE 52 ST
555,2XX BLOCK OF S JACKSON ST
556,130XX BLOCK OF LAKE CITY WY NE
557,69XX BLOCK OF BEACON AV S
558,SW WILDWOOD PL / 47 AV SW
559,SWIFT AV S / S ALBRO PL
560,48XX BLOCK OF SW BARTON ST
561,17XX BLOCK OF WESTLAKE AV N
562,NE 65 ST / 16 AV NE
563,N 50 ST / FREMONT AV N
564,17 AV / E MADISON ST
565,60XX BLOCK OF 41 AV SW
566,N 90 ST / GREENWOOD AV N
567,12XX BLOCK OF E CROCKETT ST
568,90XX BLOCK OF 2 AV NW
569,130XX BLOCK OF GREENWOOD AV N
570,53XX BLOCK OF LEARY AV NW
571,2XX BLOCK OF PIKE ST
572,12XX BLOCK OF SPRING ST
573,WESTLAKE AV N / MERCER ST
574,88XX BLOCK OF DELRIDGE WY SW
575,1XX BLOCK OF 8 AV
576,15XX BLOCK OF 7 AV
577,6XX BLOCK OF 5 AV S
578,MADISON ST / 7 AV
579,S WALLACE ST / BEACON AV S
580,N 45 ST / DENSMORE AV N
581,30XX BLOCK OF NE 125 ST
582,9XX BLOCK OF N 47 ST
583,34 AV SW / SW BARTON ST
584,15XX BLOCK OF SW TRENTON ST
585,N 130 ST / AURORA AV N
586,E CHERRY ST / 20 AV
587,20 AV S / S JACKSON ST
588,71XX BLOCK OF BEACON AV S
589,MONTLAKE BV E / E SHELBY ST
590,83XX BLOCK OF 31 AV NW
591,3 AV S / S MAIN ST
592,S DAWSON ST / BEACON AV S
593,5XX BLOCK OF S KING ST
594,N 34 ST / FREMONT AV N
595,1 AV / WALL ST
596,44XX BLOCK OF 4 AV NE
597,6XX BLOCK OF 3 AV
598,16XX BLOCK OF NE 50 ST
599,10XX BLOCK OF TERRACE ST
600,122XX BLOCK OF AURORA AV N
601,47XX BLOCK OF BALLARD AV NW
602,57XX BLOCK OF ROOSEVELT WY NE
603,50XX BLOCK OF SAND POINT WY NE
604,71XX BLOCK OF E MARGINAL WY S
605,31XX BLOCK OF W GOVERNMENT WY
606,2 AV / PIKE ST
607,19XX BLOCK OF PIKE PL
608,19XX BLOCK OF NE 45 ST
609,RAINIER AV S / MARTIN LUTHER KING JR WY S
610,79XX BLOCK OF 9 AV SW
611,NE 40 ST / BROOKLYN AV NE
